Date,Exercise,Weight (kg),Reps,Sets
2023-08-02,Bench Press,45,,
2023-08-02,Standing Shoulder Press,5,,
2023-08-02,Triceps Extensions,13,,
2023-08-07,Deadlifts,40,8.0,1.0
2023-08-07,Deadlifts,40,8.0,1.0
2023-08-07,Deadlifts,40,8.0,1.0
2023-08-07,Bicep Curls,6,8.0,1.0
2023-08-07,Bicep Curls,8,8.0,1.0
2023-08-07,Cable Row (Narrow Grip),17,,
2023-08-07,Bent Over Bicep Curl,6,,
2023-08-08,Squats,30,,
2023-08-08,Romanian Deadlifts,30,,
2023-08-08,Bulgarian Split Squats,2,,
2023-08-08,Smith Machine Calf Raises,30,,
2023-08-11,Bent Over Row With Barbell,25,,
2023-08-11,Should Shrugs,30,,
2023-08-11,Routine Where We Did,6,,
2023-08-14,Squats,20,8.0,1.0
2023-08-14,Squats,20,8.0,1.0
2023-08-14,Squats,20,8.0,1.0
2023-08-14,Squats,25,4.0,1.0
2023-08-14,Romanian Deadlift,20,8.0,1.0
2023-08-14,Romanian Deadlift,30,8.0,1.0
2023-08-14,Romanian Deadlift,30,8.0,1.0
2023-08-14,Romanian Deadlift,30,8.0,1.0
2023-08-14,Smith Machine Calf Raises,20,8.0,1.0
2023-08-14,Smith Machine Calf Raises,30,8.0,1.0
2023-08-14,Smith Machine Calf Raises,30,8.0,1.0
2023-08-14,Smith Machine Calf Raises,5,8.0,1.0
2023-08-15,Overhead Standing Shoulder Press,20,8.0,1.0
2023-08-15,Overhead Standing Shoulder Press,20,8.0,1.0
2023-08-15,Overhead Standing Shoulder Press,20,8.0,1.0
2023-08-15,Overhead Standing Shoulder Press,20,8.0,1.0
2023-08-15,Bench Press,20,8.0,1.0
2023-08-15,Bench Press,30,8.0,1.0
2023-08-15,Bench Press,35,4.0,1.0
2023-08-15,Bench Press,35,4.0,1.0
2023-08-15,Triceps Extensions,25,8.0,1.0
2023-08-17,Deadlifts,30,8.0,1.0
2023-08-17,Deadlifts,40,8.0,1.0
2023-08-17,Deadlifts,45,8.0,1.0
2023-08-17,Deadlifts,50,8.0,1.0
2023-08-17,Lat Pulldown,5,8.0,1.0
2023-08-17,Lat Pulldown,5,8.0,1.0
2023-08-17,Lat Pulldown,5,8.0,1.0
2023-08-17,Lat Pulldown,15,8.0,1.0
